S.No.      Sender ID/Number             Credit/Debit                    Amount                  Tranx dateTime            Sms Received Time      
1            HDFCBK                       3215                       376.70               2016-04-03:11:37:20     2016-04-03 11:37:40 GMT+05:30
2            HDFCBK                       3215                       200.00               2016-04-03:15:19:07     2016-04-03 15:19:18 GMT+05:30
3            HDFCBK                       3215                       555.00               2016-04-04:08:32:58     2016-04-04 08:46:03 GMT+05:30
4            HDFCBK                       3215                       555.00               2016-04-04:08:27:55     2016-04-04 08:46:13 GMT+05:30
5            HDFCBK                       1230                     29,994.52                   04-APR-16          2016-04-04 13:58:20 GMT+05:30
6            HSBCIN                       1033                        4464                      01-04-16          2016-04-04 19:36:28 GMT+05:30
7            HSBCIN                       -006                     20,000.00                     05APR            2016-04-05 16:57:58 GMT+05:30
8            HSBCIN                       -006                     55,000.00                     05APR            2016-04-05 16:58:17 GMT+05:30
9            HDFCBK                       3215                       555.00               2016-04-05:17:40:44     2016-04-05 17:45:57 GMT+05:30
10           HSBCIN                       -006                     50,000.00                     06APR            2016-04-06 11:22:47 GMT+05:30
11           HSBCIN                       -006                     20,000.00                     06APR            2016-04-06 11:24:18 GMT+05:30
12           HDFCBK                       3215                      1400.00               2016-04-07:08:07:45     2016-04-07 08:07:54 GMT+05:30
13           HDFCBK                       1230                    2,00,000.00                  07-APR-16          2016-04-07 16:48:26 GMT+05:30
14           HDFCBK                       2345                      3000.00               2016-04-08:10:01:40     2016-04-08 10:01:59 GMT+05:30
15           HDFCBK                       3215                       395.00               2016-04-08:19:32:52     2016-04-08 19:33:10 GMT+05:30
16           HDFCBK                       3215                      37170.54              2016-04-09:11:43:41     2016-04-09 11:43:53 GMT+05:30
17           HDFCBK                       3215                       885.00               2016-04-09:12:24:56     2016-04-09 12:25:08 GMT+05:30
18           HDFCBK                       3215                       280.00               2016-04-10:18:22:35     2016-04-10 18:22:49 GMT+05:30
19           HSBCIN                       1033                      1048.00                     10/04/16          2016-04-10 18:35:58 GMT+05:30
20           HDFCBK                       3215                       100.00               2016-04-11:09:14:58     2016-04-11 09:15:21 GMT+05:30
21           HDFCBK                       3215                       200.00               2016-04-11:10:14:29     2016-04-11 10:14:45 GMT+05:30
22           HDFCBK                       3215                       300.00               2016-04-13:09:08:18     2016-04-13 09:08:41 GMT+05:30
23           HDFCBK                       1234                     99,600.00                       -              2016-04-14 17:34:11 GMT+05:30
24           HDFCBK                       1230                     99,600.00                   14-APR-16          2016-04-14 17:35:05 GMT+05:30
25           HDFCBK                       3215                      1594.00               2016-04-14:21:39:43     2016-04-14 21:40:00 GMT+05:30
26           HDFCBK                       1230                     150,000.00                      -              2016-04-15 10:56:11 GMT+05:30
27           HDFCBK                       9285                    1,50,000.00                  15-APR-16          2016-04-15 10:57:04 GMT+05:30
28           HDFCBK                       1234                     130,925.00                      -              2016-04-15 10:57:48 GMT+05:30
29           HSBCIN                       1033                      8479.00                     15/04/16          2016-04-15 17:18:37 GMT+05:30
30           HDFCBK                       1230                    1,00,000.00                  15-APR-16          2016-04-15 17:33:44 GMT+05:30
31           HDFCBK                       3215                       210.00               2016-04-15:18:55:52     2016-04-15 18:56:14 GMT+05:30
32           HDFCBK                       3215                       300.00               2016-04-15:20:46:04     2016-04-15 20:46:15 GMT+05:30
33           HDFCBK                       3215                       397.00               2016-04-15:20:49:16     2016-04-15 20:49:38 GMT+05:30
34           HSBCIN                       1033                       200.00                     16/04/16          2016-04-16 09:24:11 GMT+05:30
35           HSBCIN                       1033                       250.00                     16/04/16          2016-04-16 09:28:19 GMT+05:30
36           HSBCIN                       1033                       300.00                     16/04/16          2016-04-16 09:29:50 GMT+05:30
37           HDFCBK                       3215                       600.00               2016-04-16:10:28:13     2016-04-16 10:28:35 GMT+05:30
38           HSBCIN                       1033                       925.00                     16/04/16          2016-04-16 21:13:41 GMT+05:30
39           HSBCIN                       1033                      1685.00                     16/04/16          2016-04-16 23:10:52 GMT+05:30
40           HSBCIN                       1033                      2850.00                     16/04/16          2016-04-16 23:36:44 GMT+05:30
41           HDFCBK                       3215                      33507.00              2016-04-17:01:53:13     2016-04-17 02:07:21 GMT+05:30
42           HDFCBK                       3215                      29210.00              2016-04-17:09:23:27     2016-04-17 09:23:51 GMT+05:30
43           HSBCIN                       1033                      1775.00                     17/04/16          2016-04-17 09:29:55 GMT+05:30
44           HSBCIN                       1033                       50.00                      17/04/16          2016-04-17 13:52:16 GMT+05:30
45           HDFCBK                       3215                       141.00               2016-04-17:17:14:58     2016-04-17 17:15:17 GMT+05:30
46           HDFCBK                       3215                       141.00               2016-04-17:18:07:58     2016-04-17 18:08:08 GMT+05:30
47           HDFCBK                       3215                       399.50               2016-04-17:19:34:59     2016-04-17 19:35:12 GMT+05:30
48           HSBCIN                       1033                       430.00                     17/04/16          2016-04-17 23:44:46 GMT+05:30
49           HDFCBK                       1234                      2,900.00                       -              2016-04-19 12:13:58 GMT+05:30
50           HDFCBK                       1234                      23571.23                  24/APR/2016         2016-04-19 12:23:55 GMT+05:30
51           HDFCBK                       3215                      1700.00               2016-04-19:14:59:22     2016-04-19 14:59:39 GMT+05:30
52           HSBCIN                       1033                       200.00                     19/04/16          2016-04-19 18:44:54 GMT+05:30
53           HDFCBK                       3215                       450.00               2016-04-20:09:59:35     2016-04-20 09:59:46 GMT+05:30
54           HSBCIN                       1033                       400.00                     20/04/16          2016-04-20 10:05:35 GMT+05:30
55           HDFCBK                       9285                    1,00,000.00                  21-APR-16          2016-04-21 11:33:31 GMT+05:30
56           HDFCBK                       3215                       200.00               2016-04-21:23:27:51     2016-04-21 23:34:31 GMT+05:30
57           HDFCBK                       1234                      7,837.50                       -              2016-04-22 11:21:12 GMT+05:30
58           HDFCBK                       1234                     45,000.00                       -              2016-04-22 11:24:28 GMT+05:30
59           HDFCBK                       2345                      4000.00               2016-04-22:15:40:09     2016-04-22 15:40:27 GMT+05:30
60           HDFCBK                       9285                     30,000.00                   23-APR-16          2016-04-23 13:57:39 GMT+05:30
61           HDFCBK                       3215                      23571.23                   24-4-2016          2016-04-24 08:16:48 GMT+05:30
62           HDFCBK                       3215                       300.96               2016-04-24:14:45:04     2016-04-24 14:45:18 GMT+05:30
63           HDFCBK                       3215                       360.00               2016-04-24:16:42:24     2016-04-24 16:42:40 GMT+05:30
64           HDFCBK                       3215                      23571.23                  24/APR/2016         2016-04-25 09:26:36 GMT+05:30
65           CDSLTX                       3567                         -                         25APR            2016-04-25 20:19:45 GMT+05:30
